Date,Clicks,Impressions,CTR,Position
2026-05-11,0,17,0%,9.6
2026-05-12,0,30,0%,9.3
2026-05-13,1,41,2.44%,8.5
2026-05-14,0,49,0%,12.1
2026-05-15,0,51,0%,10.8
2026-05-16,0,40,0%,12.6
2026-05-17,0,45,0%,10.1
2026-05-18,0,38,0%,14.6
2026-05-19,1,30,3.33%,10.9
2026-05-20,0,19,0%,15.7
2026-05-21,0,25,0%,14.2
2026-05-22,0,19,0%,24.5
2026-05-23,0,16,0%,19.1
2026-05-24,0,12,0%,14.8
2026-05-25,0,21,0%,16.9
2026-05-26,0,29,0%,14.3
2026-05-27,1,54,1.85%,17.6
2026-05-28,1,77,1.3%,23.6
2026-05-29,1,59,1.69%,14.1
2026-05-30,1,79,1.27%,15.2
2026-05-31,0,108,0%,9.8
2026-06-01,1,101,0.99%,11.3
2026-06-02,0,60,0%,13.1
2026-06-03,0,58,0%,11.9
2026-06-04,0,59,0%,10.4
2026-06-05,0,65,0%,9.8
2026-06-06,0,63,0%,8.2
2026-06-07,0,67,0%,9.9
