Country,Clicks,Impressions,CTR,Position
Australia,2,21,9.52%,7.67
United Kingdom,1,55,1.82%,12.05
Germany,1,40,2.5%,8.4
France,1,24,4.17%,8.04
Hungary,1,4,25%,8.5
Slovenia,1,2,50%,2.5
United States,0,679,0%,14.24
Canada,0,44,0%,9.59
India,0,35,0%,13.49
Netherlands,0,33,0%,7.76
Vietnam,0,25,0%,15.96
Spain,0,21,0%,7.81
Brazil,0,20,0%,12.1
Indonesia,0,18,0%,16.89
Pakistan,0,15,0%,12.33
Denmark,0,11,0%,7.55
Sweden,0,11,0%,7.64
Japan,0,11,0%,8.55
Poland,0,10,0%,9.1
Italy,0,10,0%,10.5
Belgium,0,8,0%,7.38
Portugal,0,8,0%,9.75
Philippines,0,8,0%,16.38
Argentina,0,8,0%,18
China,0,7,0%,7.29
Egypt,0,7,0%,12.43
Turkey,0,6,0%,6.83
Austria,0,6,0%,7.67
Greece,0,6,0%,8.17
Russia,0,6,0%,8.67
Mexico,0,6,0%,11.17
Georgia,0,5,0%,5.8
United Arab Emirates,0,5,0%,6.4
Belarus,0,5,0%,9.6
South Africa,0,5,0%,11.4
Saudi Arabia,0,5,0%,13.2
Thailand,0,5,0%,19.2
Ethiopia,0,5,0%,19.6
Morocco,0,5,0%,25.6
Finland,0,4,0%,7.5
Switzerland,0,4,0%,8.5
Hong Kong,0,4,0%,11.5
Ukraine,0,4,0%,12.75
Malaysia,0,4,0%,14.5
Oman,0,4,0%,16
Jordan,0,4,0%,31.75
Kazakhstan,0,3,0%,6.33
Singapore,0,3,0%,6.33
Norway,0,3,0%,7.33
Ireland,0,3,0%,7.67
Lithuania,0,3,0%,8.67
Colombia,0,3,0%,9
Cyprus,0,3,0%,9.33
Romania,0,3,0%,9.67
Iran,0,3,0%,10
New Zealand,0,3,0%,10
South Korea,0,3,0%,10.33
Uruguay,0,3,0%,18.33
Chile,0,3,0%,19.67
Iraq,0,3,0%,20.33
Venezuela,0,3,0%,23
Bangladesh,0,3,0%,37.67
Latvia,0,2,0%,5.5
Israel,0,2,0%,6.5
Paraguay,0,2,0%,6.5
Taiwan,0,2,0%,7.5
Guatemala,0,2,0%,8
Croatia,0,2,0%,8.5
Montenegro,0,2,0%,9
Ghana,0,2,0%,9.5
Algeria,0,2,0%,10
Qatar,0,2,0%,10.5
Dominican Republic,0,2,0%,25.5
Bolivia,0,2,0%,35
Ecuador,0,2,0%,47.5
Uganda,0,1,0%,2
Slovakia,0,1,0%,5
Bulgaria,0,1,0%,7
Estonia,0,1,0%,7
Macau,0,1,0%,7
Zimbabwe,0,1,0%,7
Guernsey,0,1,0%,8
Panama,0,1,0%,8
Puerto Rico,0,1,0%,8
Serbia,0,1,0%,8
Angola,0,1,0%,9
Czechia,0,1,0%,9
Jamaica,0,1,0%,9
Luxembourg,0,1,0%,9
Mongolia,0,1,0%,10
Nigeria,0,1,0%,10
Armenia,0,1,0%,11
Lebanon,0,1,0%,11
Tunisia,0,1,0%,11
Costa Rica,0,1,0%,12
Nepal,0,1,0%,12
Peru,0,1,0%,12
Kyrgyzstan,0,1,0%,25
Guyana,0,1,0%,30
Uzbekistan,0,1,0%,45
